run_id,dataset,axis,value,seed,physical_gpu,code_semantics_commit,execution_commit,config_ref,config_sha256,asset_id,status,U,S,H,ZS,selected_iteration,selected_stage,test_used_for_selection,output_uri,metrics_sha256,data_fingerprints_sha256,decision
CUB-TOPOLOGY-0-TEXT-V2-S7,CUB,topology_weight,0,7,0,b7e25c2758da896411236c2ea60662439a01244b,ef536144026aca4bb3e3810c4b992c96647553b9,experiments/v2/tune/TUNE-007_text_v2_chen_hparams/configs/CUB-TOPOLOGY-0.yaml,18ece76d56288dd5a219e95d70cd2c09073afa8674bd9fe0c18cdbcd9e53e2db,69c9c6d82a755fe8,completed,75.685710,79.115975,77.362837,87.394422,7473,TRANSFER_CCGR,true,/data/lby/projects/cv_project/GZSL_Warehouse/tune/v2/TUNE-007_text_v2_chen_hparams/CUB-TOPOLOGY-0-TEXT-V2-S7,cfa7f4bee9a7450199d04f81ef5ac255928f9e68523f026fa381ae30620be535,cb56097b3aa42d28c40b41f1155491cf9391a5db62e0e1604ebdb987d40a13c3,selected_topology_coarse
CUB-TOPOLOGY-0_03-TEXT-V2-S7,CUB,topology_weight,0.03,7,1,b7e25c2758da896411236c2ea60662439a01244b,ef536144026aca4bb3e3810c4b992c96647553b9,experiments/v2/tune/TUNE-007_text_v2_chen_hparams/configs/CUB-TOPOLOGY-0_03.yaml,315888ced8226d2f96b3a9d8f9fe6d35804377e9e4a387e5ea895bb5d7503537,69c9c6d82a755fe8,completed,76.573372,78.146654,77.352014,86.826515,7614,TRANSFER_CCGR,true,/data/lby/projects/cv_project/GZSL_Warehouse/tune/v2/TUNE-007_text_v2_chen_hparams/CUB-TOPOLOGY-0_03-TEXT-V2-S7,b9843d5c6838c956b070173031bbfa6049594bd53cf42f27310510f028d3ebd4,cb56097b3aa42d28c40b41f1155491cf9391a5db62e0e1604ebdb987d40a13c3,not_selected
CUB-TOPOLOGY-0_2-TEXT-V2-S7,CUB,topology_weight,0.2,7,0,b7e25c2758da896411236c2ea60662439a01244b,ef536144026aca4bb3e3810c4b992c96647553b9,experiments/v2/tune/TUNE-007_text_v2_chen_hparams/configs/CUB-TOPOLOGY-0_2.yaml,2ef14edae6abe7b0c9d31bc120787aec864cd3f68f7333477971daeca9146ba5,69c9c6d82a755fe8,completed,73.212999,80.800515,76.819857,86.415899,7614,TRANSFER_CCGR,true,/data/lby/projects/cv_project/GZSL_Warehouse/tune/v2/TUNE-007_text_v2_chen_hparams/CUB-TOPOLOGY-0_2-TEXT-V2-S7,98bd678b8ff239cdc97411f07521439c3cfdf8c64ebab7ddfdb902e5127fdbd7,cb56097b3aa42d28c40b41f1155491cf9391a5db62e0e1604ebdb987d40a13c3,not_selected
CUB-TOPOLOGY-0_1-TEXT-V2-S7-REFERENCE,CUB,topology_weight,0.1,7,1,b7e25c2758da896411236c2ea60662439a01244b,04b3506b508902b0898c267b498ba8dcd0fda134,experiments/v2/ablation/ABLATION-004_text_v2_training_strategy/configs/CUB-STAGEWISE-TEXT-V2-SEED7.yaml,57eaefae8bb2efc9fff860b5fadbce0c7aba9c831cc47adb9a86f1d2fcba6aa7,69c9c6d82a755fe8,external_reference,75.606012,79.404628,77.458777,86.697596,7614,TRANSFER_CCGR,true,/data/lby/projects/cv_project/GZSL_Warehouse/ablation/v2/ABLATION-004_text_v2_training_strategy/CUB-STAGEWISE-TEXT-V2-S7,d014ac4f238acc280aedd6c0395fe20404a255973a69a0ebd6c6d250c538798c,cb56097b3aa42d28c40b41f1155491cf9391a5db62e0e1604ebdb987d40a13c3,reference
AWA2-TOPOLOGY-0-TEXT-V2-S7,AWA2,topology_weight,0,7,1,b7e25c2758da896411236c2ea60662439a01244b,ef536144026aca4bb3e3810c4b992c96647553b9,experiments/v2/tune/TUNE-007_text_v2_chen_hparams/configs/AWA2-TOPOLOGY-0.yaml,ef21d7d7765032818669e393546c1473898df82be14c9e302fb846afd0666cee,7f0e1989635ca98d,completed,96.510589,94.506150,95.497853,99.173242,21150,TG_ONLY,true,/data/lby/projects/cv_project/GZSL_Warehouse/tune/v2/TUNE-007_text_v2_chen_hparams/AWA2-TOPOLOGY-0-TEXT-V2-S7,6fc2a94aef7173e5a47a66239e6b36b46819f4363687e78b795600a66d6e8b84,c1a7275170b661e49823fa4f7d8f28f3640ec7da9cba7514df1cf7da07325475,reject_modules_zero
AWA2-TOPOLOGY-0_03-TEXT-V2-S7,AWA2,topology_weight,0.03,7,0,b7e25c2758da896411236c2ea60662439a01244b,ef536144026aca4bb3e3810c4b992c96647553b9,experiments/v2/tune/TUNE-007_text_v2_chen_hparams/configs/AWA2-TOPOLOGY-0_03.yaml,4a6bbb71abe37dae73e4c68f03d7ededd81d2155a4696a0d1e22b8fd6ec3fe3d,7f0e1989635ca98d,completed,96.955740,95.349187,96.145753,99.173242,21150,TG_ONLY,true,/data/lby/projects/cv_project/GZSL_Warehouse/tune/v2/TUNE-007_text_v2_chen_hparams/AWA2-TOPOLOGY-0_03-TEXT-V2-S7,36e110bba4226a5ce2b1b7a979459fc9d3d459629fefd47f4c5da7b361a2f6ee,c1a7275170b661e49823fa4f7d8f28f3640ec7da9cba7514df1cf7da07325475,reject_modules_zero
AWA2-TOPOLOGY-0_2-TEXT-V2-S7,AWA2,topology_weight,0.2,7,1,b7e25c2758da896411236c2ea60662439a01244b,ef536144026aca4bb3e3810c4b992c96647553b9,experiments/v2/tune/TUNE-007_text_v2_chen_hparams/configs/AWA2-TOPOLOGY-0_2.yaml,91bf18232cf94f91b247673430e44b82abb9c892b541d94b80d687c75866a0c2,7f0e1989635ca98d,completed,94.441193,95.591050,95.012643,99.173242,0,TG_ONLY,true,/data/lby/projects/cv_project/GZSL_Warehouse/tune/v2/TUNE-007_text_v2_chen_hparams/AWA2-TOPOLOGY-0_2-TEXT-V2-S7,a4d542eff73dfb4cfb548b77868f2d0de50877cf200dd8214af2d3d3dc563cbc,c1a7275170b661e49823fa4f7d8f28f3640ec7da9cba7514df1cf7da07325475,reject_modules_zero
AWA2-TOPOLOGY-0_1-TEXT-V2-S7-REFERENCE,AWA2,topology_weight,0.1,7,1,b7e25c2758da896411236c2ea60662439a01244b,04b3506b508902b0898c267b498ba8dcd0fda134,experiments/v2/ablation/ABLATION-004_text_v2_training_strategy/configs/AWA2-STAGEWISE-TEXT-V2-SEED7.yaml,8b44648120f0da671d0164fd4248a27162a897d3028caa2da56eb38c904ac559,7f0e1989635ca98d,external_reference,94.504052,96.858674,95.666877,99.173242,21150,TG_ONLY,true,/data/lby/projects/cv_project/GZSL_Warehouse/ablation/v2/ABLATION-004_text_v2_training_strategy/AWA2-STAGEWISE-TEXT-V2-S7,ffad32fb5a1386b13a2eba44fb53932b42362088e23f690a6cd8955486396002,c1a7275170b661e49823fa4f7d8f28f3640ec7da9cba7514df1cf7da07325475,reject_modules_zero
SUN-TOPOLOGY-0-TEXT-V2-S7,SUN,topology_weight,0,7,0,b7e25c2758da896411236c2ea60662439a01244b,ef536144026aca4bb3e3810c4b992c96647553b9,experiments/v2/tune/TUNE-007_text_v2_chen_hparams/configs/SUN-TOPOLOGY-0.yaml,aaa67e11ef20fe6e970cf6872a36a91a3d9d1447bc8d5a0c4aa959ced0428e71,bfe12cda3c37abdb,completed,66.805559,73.604649,70.040488,90.069455,36668,JOINT_FINETUNE,true,/data/lby/projects/cv_project/GZSL_Warehouse/tune/v2/TUNE-007_text_v2_chen_hparams/SUN-TOPOLOGY-0-TEXT-V2-S7,da4c5ad0b2fd4e0644f56476240bbdd1fce317e0b0b1b78a96d03d8c3d36ed06,f8e52771d480843dae358c142dd0c088a328dc4b4cc48938e5d940be811c2ebd,provisional_best
SUN-TOPOLOGY-0_03-TEXT-V2-S7,SUN,topology_weight,0.03,7,1,b7e25c2758da896411236c2ea60662439a01244b,ef536144026aca4bb3e3810c4b992c96647553b9,experiments/v2/tune/TUNE-007_text_v2_chen_hparams/configs/SUN-TOPOLOGY-0_03.yaml,7c63f6145e45f0057e1988a54a7e8a7dd00da48682eb340bbf017391b6233087,bfe12cda3c37abdb,completed,65.347219,73.798448,69.316184,90.138900,39552,JOINT_FINETUNE,true,/data/lby/projects/cv_project/GZSL_Warehouse/tune/v2/TUNE-007_text_v2_chen_hparams/SUN-TOPOLOGY-0_03-TEXT-V2-S7,94d83b53a8751e25b4c2b6d69064bf21a8b30f4432cd40bd68d1e3288537f1fa,f8e52771d480843dae358c142dd0c088a328dc4b4cc48938e5d940be811c2ebd,not_selected
